# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.save.global.entities.ms,1714403406396000000,1714403466418000000,22
workspaceModel.global.updates.count,1714403406396000000,1714403466418000000,1
jps.module.iml.entities.serializer.save.entities.ms,1714403406396000000,1714403466418000000,0
workspaceModel.mutableEntityStorage.entities.ms,1714403406396000000,1714403466418000000,0
jps.app.storage.content.writer.save.component.ms,1714403406396000000,1714403466418000000,5
workspaceModel.sync.entities.ms,1714403406396000000,1714403466418000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1714403406396000000,1714403466418000000,12
workspaceModel.mutableEntityStorage.entities.by.source.ms,1714403406396000000,1714403466418000000,1
workspaceModel.global.apply.state.to.project.ms,1714403406396000000,1714403466418000000,20
workspaceModel.mutableEntityStorage.replace.by.source.ms,1714403406396000000,1714403466418000000,30
jps.save.changed.project.entities.ms,1714403406396000000,1714403466418000000,2
workspaceModel.moduleManagerBridge.get.modules.ms,1714403406396000000,1714403466418000000,1
jps.global.get.libraries.ms,1714403406396000000,1714403466418000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1714403406396000000,1714403466418000000,0
jps.load.initial.state.ms,1714403406396000000,1714403466418000000,14
jps.facet.change.listener.init.bridge.ms,1714403406396000000,1714403466418000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1714403406396000000,1714403466418000000,38
workspaceModel.moduleBridge.facet.initialization.ms,1714403406396000000,1714403466418000000,0
jps.app.storage.content.reader.load.component.ms,1714403406396000000,1714403466418000000,2
workspaceModel.mutableEntityStorage.referrers.ms,1714403406396000000,1714403466418000000,0
jps.library.entities.serializer.load.entities.ms,1714403406396000000,1714403466418000000,34
jps.reload.project.entities.ms,1714403406396000000,1714403466418000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1714403406396000000,1714403466418000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1714403406396000000,1714403466418000000,203
workspaceModel.load.cache.metadata.from.file.ms,1714403406396000000,1714403466418000000,24
jps.project.serializers.load.ms,1714403406396000000,1714403466418000000,148
jps.global.get.library.by.name.ms,1714403406396000000,1714403466418000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1714403406396000000,1714403466418000000,0
jps.artifact.entities.serializer.save.entities.ms,1714403406396000000,1714403466418000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1714403406396000000,1714403466418000000,3
jps.project.serializers.save.ms,1714403406396000000,1714403466418000000,2
workspaceModel.global.apply.state.to.project.builder.ms,1714403406396000000,1714403466418000000,6
jps.apply.loaded.storage.ms,1714403406396000000,1714403466418000000,40
workspaceModel.mutableEntityStorage.instances.count,1714403406396000000,1714403466418000000,64
workspaceModel.cachedValueWithParameters.clear.ms,1714403406396000000,1714403466418000000,0
workspaceModel.cachedValue.clear.ms,1714403406396000000,1714403466418000000,0
workspaceModel.update.unloaded.entities.ms,1714403406396000000,1714403466418000000,0
workspaceModel.cachedValue.calculated.ms,1714403406396000000,1714403466418000000,16
workspaceModel.workspaceFileIndexData.getPackageName.ms,1714403406396000000,1714403466418000000,14
workspaceModel.cachedValueWithParameters.from.cache.ms,1714403406396000000,1714403466418000000,0
workspaceModel.updates.ms,1714403406396000000,1714403466418000000,82
workspaceModel.pre.handlers.ms,1714403406396000000,1714403466418000000,1
workspaceModel.init.bridges.ms,1714403406396000000,1714403466418000000,21
workspaceModel.loading.total.ms,1714403406396000000,1714403466418000000,344
workspaceModel.collect.changes.ms,1714403406396000000,1714403466418000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1714403406396000000,1714403466418000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1714403406396000000,1714403466418000000,3
