# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.executionTimeAvgNs,1714402003509000000,1714402063514000000,1009269.8860215053
WriteAction.executionsCount,1714402003509000000,1714402063514000000,29
AWTEventQueue.dispatchTimeTotalNS,1714402003509000000,1714402063514000000,8119415961
FlushQueue.queueSizeAvg,1714402003509000000,1714402063514000000,22.78542413381123
FlushQueue.executionTime90PNs,1714402003509000000,1714402063514000000,454655
AWTEventQueue.dispatchTimeAvgNs,1714402003509000000,1714402063514000000,3193767.3013375294
AWTEventQueue.dispatchTime90PNs,1714402003509000000,1714402063514000000,5537791
FlushQueue.queueSizeMax,1714402003509000000,1714402063514000000,169
FlushQueue.waitingTimeAvgNs,1714402003509000000,1714402063514000000,6.405842348387097E7
NonBlockingReadAction.failedExecutionTimeUs,1714402003509000000,1714402063514000000,983036
FlushQueue.tasksExecuted,1714402003509000000,1714402063514000000,4185
FlushQueue.queueSize90P,1714402003509000000,1714402063514000000,72
ReadAction.executionsCount,1714402003509000000,1714402063514000000,351943
NonBlockingReadAction.finalizedExecutionsCount,1714402003509000000,1714402063514000000,179
NonBlockingReadAction.finalizedExecutionTimeUs,1714402003509000000,1714402063514000000,3918592
FlushQueue.waitingTime90PNs,1714402003509000000,1714402063514000000,220200959
AWTEventQueue.eventsDispatched,1714402003509000000,1714402063514000000,2542
FlushQueue.executionTimeMaxNs,1714402003509000000,1714402063514000000,637534207
FlushQueue.waitingTimeMaxNs,1714402003509000000,1714402063514000000,759169023
AWTEventQueue.dispatchTimeMaxNs,1714402003509000000,1714402063514000000,641728511
NonBlockingReadAction.failedExecutionsCount,1714402003509000000,1714402063514000000,3
cacheStateStorage.get.counter,1714402003509000000,1714402063514000000,72
cacheStateStorage.get.duration,1714402003509000000,1714402063514000000,710
cacheStateStorage.set.duration,1714402003509000000,1714402063514000000,11
cacheStateStorage.set.counter,1714402003509000000,1714402063514000000,3
JVM.GC.collections,1714402003509000000,1714402063514000000,22
JVM.totalBytesAllocated,1714402003509000000,1714402063514000000,3567176824
JVM.maxHeapBytes,1714402003509000000,1714402063514000000,2147483648
JVM.usedNativeBytes,1714402003509000000,1714402063514000000,494975808
OS.loadAverage,1714402003509000000,1714402063514000000,2.25146484375
JVM.threadCount,1714402003509000000,1714402063514000000,199
JVM.totalCpuTimeMs,1714402003509000000,1714402063514000000,82800
JVM.GC.collectionTimesMs,1714402003509000000,1714402063514000000,240
JVM.totalDirectByteBuffersBytes,1714402003509000000,1714402063514000000,256733391
JVM.usedHeapBytes,1714402003509000000,1714402063514000000,895546368
JVM.newThreadsCount,1714402003509000000,1714402063514000000,257
JVM.maxThreadCount,1714402003509000000,1714402063514000000,223
lexer.TOML.time.ns,1714402003509000000,1714402063514000000,880612
lexer.XML.size.bytes,1714402003509000000,1714402063514000000,1037
lexer.TOML.size.bytes,1714402003509000000,1714402063514000000,1696
parser.JAVA.size.bytes,1714402003509000000,1714402063514000000,69836
lexer.JAVA.time.ns,1714402003509000000,1714402063514000000,5250267
parser.XML.size.bytes,1714402003509000000,1714402063514000000,1037
writeAction.wait.ms,1714402003509000000,1714402063514000000,248
writeAction.median.wait.ms,1714402003509000000,1714402063514000000,100
writeAction.count,1714402003509000000,1714402063514000000,29
writeAction.max.wait.ms,1714402003509000000,1714402063514000000,129
lexer.JAVA.size.bytes,1714402003509000000,1714402063514000000,69836
lexer.XML.time.ns,1714402003509000000,1714402063514000000,580235
parser.TOML.size.bytes,1714402003509000000,1714402063514000000,1696
parser.XML.time.ns,1714402003509000000,1714402063514000000,9309074
parser.JAVA.time.ns,1714402003509000000,1714402063514000000,46888462
parser.TOML.time.ns,1714402003509000000,1714402063514000000,54545389
FilePageCacheLockFree.totalPagesReadMs,1714402003509000000,1714402063514000000,0
StreamlinedBlobStorage.recordsAllocated,1714402003509000000,1714402063514000000,223765
StreamlinedBlobStorage.recordsRelocated,1714402003509000000,1714402063514000000,0
MappedFileStorage.totalPagesMapped,1714402003509000000,1714402063514000000,12
FilePageCacheLockFree.totalHeapBytesAllocated,1714402003509000000,1714402063514000000,0
FilePageCacheLockFree.totalPagesReclaimed,1714402003509000000,1714402063514000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1714402003509000000,1714402063514000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1714402003509000000,1714402063514000000,0
StorageLockContext.competingThreads.90P,1714402003509000000,1714402063514000000,0
StreamlinedBlobStorage.recordsDeleted,1714402003509000000,1714402063514000000,243
FilePageCacheLockFree.totalBytesWritten,1714402003509000000,1714402063514000000,0
FilePageCache.maxCacheSizeInBytes,1714402003509000000,1714402063514000000,252723200
FilePageCache.pageHits,1714402003509000000,1714402063514000000,2
StorageLockContext.competingThreads.max,1714402003509000000,1714402063514000000,0
FilePageCache.pageFastCacheHits,1714402003509000000,1714402063514000000,11755
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1714402003509000000,1714402063514000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1714402003509000000,1714402063514000000,0
DirectByteBufferAllocator.disposed,1714402003509000000,1714402063514000000,0
DirectByteBufferAllocator.misses,1714402003509000000,1714402063514000000,243
FilePageCacheLockFree.totalPagesRequestsMs,1714402003509000000,1714402063514000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1714402003509000000,1714402063514000000,0
FilePageCache.totalPageDisposalsUs,1714402003509000000,1714402063514000000,1288
StorageLockContext.competingThreads.avg,1714402003509000000,1714402063514000000,0.0
FilePageCacheLockFree.totalNativeBytesAllocated,1714402003509000000,1714402063514000000,0
FilePageCache.uncachedFileAccess,1714402003509000000,1714402063514000000,114
DirectByteBufferAllocator.reclaimed,1714402003509000000,1714402063514000000,3
FilePageCacheLockFree.nativeBytesInUse,1714402003509000000,1714402063514000000,0
MappedFileStorage.storages,1714402003509000000,1714402063514000000,11
FilePageCacheLockFree.totalPagesWritten,1714402003509000000,1714402063514000000,0
FilePageCacheLockFree.totalBytesRead,1714402003509000000,1714402063514000000,0
MappedFileStorage.totalBytesMapped,1714402003509000000,1714402063514000000,185860096
FilePageCache.pageLoadsAboveSizeThreshold,1714402003509000000,1714402063514000000,0
FilePageCache.totalPageLoadsUs,1714402003509000000,1714402063514000000,627304
FilePageCacheLockFree.housekeeperTurnsSkipped,1714402003509000000,1714402063514000000,0
FilePageCacheLockFree.totalBytesRequested,1714402003509000000,1714402063514000000,0
FilePageCacheLockFree.totalPagesWriteMs,1714402003509000000,1714402063514000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1714402003509000000,1714402063514000000,3016
FilePageCacheLockFree.totalPagesHandedOver,1714402003509000000,1714402063514000000,0
DirectByteBufferAllocator.hits,1714402003509000000,1714402063514000000,3
FilePageCache.pageLoads,1714402003509000000,1714402063514000000,246
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1714402003509000000,1714402063514000000,15822503
FilePageCacheLockFree.totalPagesRequested,1714402003509000000,1714402063514000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1714402003509000000,1714402063514000000,252723200
FilePageCacheLockFree.housekeeperTurnsDone,1714402003509000000,1714402063514000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1714402003509000000,1714402063514000000,2885480
FilePageCacheLockFree.heapBytesInUse,1714402003509000000,1714402063514000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1714402003509000000,1714402063514000000,0
FilePageCache.capacityInBytes,1714402003509000000,1714402063514000000,503316478
FilePageCacheLockFree.totalPagesAllocated,1714402003509000000,1714402063514000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1714402003509000000,1714402063514000000,0
FilePageCache.disposedBuffers,1714402003509000000,1714402063514000000,3
FilePageCache.maxRegisteredFiles,1714402003509000000,1714402063514000000,465
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1714402003509000000,1714402063514000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1714402003509000000,1714402063514000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1714402003509000000,1714402063514000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1714402003509000000,1714402063514000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1714402003509000000,1714402063514000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1714402003509000000,1714402063514000000,0
