# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageLoadsAboveSizeThreshold,1714412321387000000,1714412369456000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1714412321387000000,1714412369456000000,0
FilePageCache.capacityInBytes,1714412321387000000,1714412369456000000,503316478
FilePageCache.totalPageLoadsUs,1714412321387000000,1714412369456000000,588672
DirectByteBufferAllocator.reclaimed,1714412321387000000,1714412369456000000,46
FilePageCacheLockFree.totalBytesRequested,1714412321387000000,1714412369456000000,0
FilePageCacheLockFree.totalBytesRead,1714412321387000000,1714412369456000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1714412321387000000,1714412369456000000,0
DirectByteBufferAllocator.disposed,1714412321387000000,1714412369456000000,243
FilePageCacheLockFree.totalHeapBytesAllocated,1714412321387000000,1714412369456000000,0
FilePageCache.maxCacheSizeInBytes,1714412321387000000,1714412369456000000,296771584
FilePageCacheLockFree.totalNativeBytesReclaimed,1714412321387000000,1714412369456000000,0
StorageLockContext.competingThreads.90P,1714412321387000000,1714412369456000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1714412321387000000,1714412369456000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1714412321387000000,1714412369456000000,41967616
FileChannelInterruptsRetryer.totalRetriedAttempts,1714412321387000000,1714412369456000000,0
FilePageCache.pageFastCacheHits,1714412321387000000,1714412369456000000,20598
FilePageCacheLockFree.nativeBytesInUse,1714412321387000000,1714412369456000000,0
FilePageCache.maxRegisteredFiles,1714412321387000000,1714412369456000000,465
FilePageCacheLockFree.totalPagesReclaimed,1714412321387000000,1714412369456000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1714412321387000000,1714412369456000000,0
DirectByteBufferAllocator.misses,1714412321387000000,1714412369456000000,286
FilePageCacheLockFree.totalPagesRequested,1714412321387000000,1714412369456000000,0
DirectByteBufferAllocator.hits,1714412321387000000,1714412369456000000,3
FilePageCacheLockFree.heapBytesInUse,1714412321387000000,1714412369456000000,0
FilePageCacheLockFree.totalPagesReadMs,1714412321387000000,1714412369456000000,0
FilePageCacheLockFree.totalPagesAllocated,1714412321387000000,1714412369456000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1714412321387000000,1714412369456000000,0
FilePageCache.pageHits,1714412321387000000,1714412369456000000,14
FilePageCache.pageLoads,1714412321387000000,1714412369456000000,289
FilePageCacheLockFree.housekeeperTurnsSkipped,1714412321387000000,1714412369456000000,0
FilePageCacheLockFree.totalBytesWritten,1714412321387000000,1714412369456000000,0
StorageLockContext.competingThreads.max,1714412321387000000,1714412369456000000,0
FilePageCacheLockFree.totalPagesHandedOver,1714412321387000000,1714412369456000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1714412321387000000,1714412369456000000,0
FilePageCacheLockFree.totalPagesWriteMs,1714412321387000000,1714412369456000000,0
FilePageCacheLockFree.totalPagesWritten,1714412321387000000,1714412369456000000,0
FilePageCache.disposedBuffers,1714412321387000000,1714412369456000000,289
FilePageCache.uncachedFileAccess,1714412321387000000,1714412369456000000,149
StorageLockContext.competingThreads.avg,1714412321387000000,1714412369456000000,0.0
FilePageCache.totalPageDisposalsUs,1714412321387000000,1714412369456000000,1377
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1714412321387000000,1714412369456000000,41967616
FilePageCacheLockFree.totalPagesRequestsMs,1714412321387000000,1714412369456000000,0
AWTEventQueue.dispatchTimeTotalNS,1714412321387000000,1714412369456000000,11816234195
NonBlockingReadAction.failedExecutionsCount,1714412321387000000,1714412369456000000,17
NonBlockingReadAction.finalizedExecutionTimeUs,1714412321387000000,1714412369456000000,8135284
NonBlockingReadAction.failedExecutionTimeUs,1714412321387000000,1714412369456000000,2282395
NonBlockingReadAction.finalizedExecutionsCount,1714412321387000000,1714412369456000000,522
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1714412321387000000,1714412369456000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1714412321387000000,1714412369456000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1714412321387000000,1714412369456000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1714412321387000000,1714412369456000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1714412321387000000,1714412369456000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1714412321387000000,1714412369456000000,0
