# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.initializing.ms,1714412299374000000,1714412318977000000,2
workspaceModel.cachedValueWithParameters.calculated.ms,1714412299374000000,1714412318977000000,0
workspaceModel.updates.precise.ms,1714412299374000000,1714412318977000000,13
workspaceModel.cachedValue.total.get.ms,1714412299374000000,1714412318977000000,18
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1714412299374000000,1714412318977000000,5
workspaceModel.cachedValue.clear.ms,1714412299374000000,1714412318977000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1714412299374000000,1714412318977000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1714412299374000000,1714412318977000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1714412299374000000,1714412318977000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1714412299374000000,1714412318977000000,0
workspaceModel.updates.count,1714412299374000000,1714412318977000000,9
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1714412299374000000,1714412318977000000,0
workspaceModel.workspaceFileIndexData.init.ms,1714412299374000000,1714412318977000000,125
workspaceModel.init.bridges.ms,1714412299374000000,1714412318977000000,2
workspaceModel.loading.from.cache.ms,1714412299374000000,1714412318977000000,286
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1714412299374000000,1714412318977000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1714412299374000000,1714412318977000000,19
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1714412299374000000,1714412318977000000,240
workspaceModel.to.snapshot.ms,1714412299374000000,1714412318977000000,1
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1714412299374000000,1714412318977000000,2483
workspaceModel.full.replace.project.model.ms,1714412299374000000,1714412318977000000,4
workspaceModel.check.recursive.update.ms,1714412299374000000,1714412318977000000,1
workspaceModel.collect.changes.ms,1714412299374000000,1714412318977000000,0
