# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
ReadAction.executionsCount,1714401913285000000,1714401968420000000,371238
AWTEventQueue.dispatchTime90PNs,1714401913285000000,1714401968420000000,0
FlushQueue.waitingTimeAvgNs,1714401913285000000,1714401968420000000,0.0
AWTEventQueue.dispatchTimeAvgNs,1714401913285000000,1714401968420000000,0.0
FlushQueue.queueSize90P,1714401913285000000,1714401968420000000,0
FlushQueue.waitingTimeMaxNs,1714401913285000000,1714401968420000000,0
AWTEventQueue.dispatchTimeTotalNS,1714401913285000000,1714401968420000000,8693593916
AWTEventQueue.dispatchTimeMaxNs,1714401913285000000,1714401968420000000,0
FlushQueue.executionTimeMaxNs,1714401913285000000,1714401968420000000,0
FlushQueue.waitingTime90PNs,1714401913285000000,1714401968420000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1714401913285000000,1714401968420000000,12144060
WriteAction.executionsCount,1714401913285000000,1714401968420000000,29
NonBlockingReadAction.failedExecutionTimeUs,1714401913285000000,1714401968420000000,1014534
FlushQueue.executionTime90PNs,1714401913285000000,1714401968420000000,0
FlushQueue.tasksExecuted,1714401913285000000,1714401968420000000,0
FlushQueue.queueSizeAvg,1714401913285000000,1714401968420000000,0.0
NonBlockingReadAction.finalizedExecutionsCount,1714401913285000000,1714401968420000000,476
AWTEventQueue.eventsDispatched,1714401913285000000,1714401968420000000,0
NonBlockingReadAction.failedExecutionsCount,1714401913285000000,1714401968420000000,3
FlushQueue.queueSizeMax,1714401913285000000,1714401968420000000,0
FlushQueue.executionTimeAvgNs,1714401913285000000,1714401968420000000,0.0
Indexes.allKeys.lookups,1714401913285000000,1714401968420000000,0.0
Indexes.stubs.lookupDuration90PMs,1714401913285000000,1714401968420000000,0.0
Indexes.stubs.lookupDurationMaxMs,1714401913285000000,1714401968420000000,0.0
Indexes.entries.lookupDurationMaxMs,1714401913285000000,1714401968420000000,0.0
Indexes.stubs.lookupDurationAvgMs,1714401913285000000,1714401968420000000,0.0
Indexes.entries.lookupDuration90PMs,1714401913285000000,1714401968420000000,0.0
Indexes.entries.lookups,1714401913285000000,1714401968420000000,0.0
Indexes.entries.lookupDurationAvgMs,1714401913285000000,1714401968420000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1714401913285000000,1714401968420000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1714401913285000000,1714401968420000000,0.0
Indexes.allKeys.lookupDuration90PMs,1714401913285000000,1714401968420000000,0.0
Indexes.stubs.lookups,1714401913285000000,1714401968420000000,0.0
lexer.JAVA.size.bytes,1714401913285000000,1714401968420000000,69836
writeAction.max.wait.ms,1714401913285000000,1714401968420000000,52
