# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.tasksExecuted,1714402865012000000,1714402925018000000,8063
AWTEventQueue.dispatchTimeTotalNS,1714402865012000000,1714402925018000000,12398502086
AWTEventQueue.eventsDispatched,1714402865012000000,1714402925018000000,11680
NonBlockingReadAction.finalizedExecutionsCount,1714402865012000000,1714402925018000000,699
WriteAction.executionsCount,1714402865012000000,1714402925018000000,39
FlushQueue.waitingTimeMaxNs,1714402865012000000,1714402925018000000,650117119
FlushQueue.queueSize90P,1714402865012000000,1714402925018000000,47
NonBlockingReadAction.failedExecutionsCount,1714402865012000000,1714402925018000000,3
ReadAction.executionsCount,1714402865012000000,1714402925018000000,463850
NonBlockingReadAction.failedExecutionTimeUs,1714402865012000000,1714402925018000000,1722754
FlushQueue.executionTime90PNs,1714402865012000000,1714402925018000000,251903
AWTEventQueue.dispatchTimeAvgNs,1714402865012000000,1714402925018000000,1061289.3602739726
FlushQueue.queueSizeMax,1714402865012000000,1714402925018000000,198
AWTEventQueue.dispatchTime90PNs,1714402865012000000,1714402925018000000,876543
FlushQueue.waitingTime90PNs,1714402865012000000,1714402925018000000,117964799
FlushQueue.queueSizeAvg,1714402865012000000,1714402925018000000,14.595683988589855
FlushQueue.executionTimeAvgNs,1714402865012000000,1714402925018000000,592432.4332134441
AWTEventQueue.dispatchTimeMaxNs,1714402865012000000,1714402925018000000,473956351
FlushQueue.executionTimeMaxNs,1714402865012000000,1714402925018000000,469762047
FlushQueue.waitingTimeAvgNs,1714402865012000000,1714402925018000000,3.458924362148084E7
NonBlockingReadAction.finalizedExecutionTimeUs,1714402865012000000,1714402925018000000,9203927
cacheStateStorage.set.counter,1714402865012000000,1714402925018000000,15
cacheStateStorage.get.duration,1714402865012000000,1714402925018000000,561
cacheStateStorage.set.duration,1714402865012000000,1714402925018000000,20
cacheStateStorage.get.counter,1714402865012000000,1714402925018000000,59
jps.artifact.entities.serializer.load.entities.ms,1714402865012000000,1714402925018000000,0
workspaceModel.moduleBridge.update.option.ms,1714402865012000000,1714402925018000000,0
jps.save.global.entities.ms,1714402865012000000,1714402925018000000,35
workspaceModel.mutableEntityStorage.entities.ms,1714402865012000000,1714402925018000000,2
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1714402865012000000,1714402925018000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1714402865012000000,1714402925018000000,6
workspaceModel.load.cache.metadata.from.file.ms,1714402865012000000,1714402925018000000,25
jps.facet.change.listener.process.change.events.ms,1714402865012000000,1714402925018000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1714402865012000000,1714402925018000000,0
workspaceModel.do.save.caches.ms,1714402865012000000,1714402925018000000,559
workspaceModel.moduleBridge.facet.initialization.ms,1714402865012000000,1714402925018000000,1
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1714402865012000000,1714402925018000000,47
jps.reload.project.entities.ms,1714402865012000000,1714402925018000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1714402865012000000,1714402925018000000,7
workspaceModel.moduleManagerBridge.load.all.modules.ms,1714402865012000000,1714402925018000000,120
jps.module.iml.entities.serializer.save.entities.ms,1714402865012000000,1714402925018000000,0
jps.global.get.library.ms,1714402865012000000,1714402925018000000,0
workspaceModel.mutableEntityStorage.instances.count,1714402865012000000,1714402925018000000,64
workspaceModel.mutableEntityStorage.collect.changes.ms,1714402865012000000,1714402925018000000,2
workspaceModel.orphan.listener.update.ms,1714402865012000000,1714402925018000000,5
jps.save.changed.project.entities.ms,1714402865012000000,1714402925018000000,1
jps.app.storage.content.writer.save.component.ms,1714402865012000000,1714402925018000000,10
workspaceModel.mutableEntityStorage.modify.entity.ms,1714402865012000000,1714402925018000000,50
workspaceModel.delayed.project.synchronizer.sync.ms,1714402865012000000,1714402925018000000,274
workspaceModel.mutableEntityStorage.has.same.entities.ms,1714402865012000000,1714402925018000000,0
