# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalHeapBytesReclaimed,1714403988888000000,1714404048894000000,0
FilePageCacheLockFree.nativeBytesInUse,1714403988888000000,1714404048894000000,0
FilePageCache.uncachedFileAccess,1714403988888000000,1714404048894000000,122
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1714403988888000000,1714404048894000000,2885557
FilePageCacheLockFree.housekeeperTurnsDone,1714403988888000000,1714404048894000000,0
StorageLockContext.competingThreads.avg,1714403988888000000,1714404048894000000,0.0
StreamlinedBlobStorage.recordsAllocated,1714403988888000000,1714404048894000000,223774
FilePageCache.pageHits,1714403988888000000,1714404048894000000,4
FilePageCache.disposedBuffers,1714403988888000000,1714404048894000000,3
FilePageCacheLockFree.totalPagesWriteMs,1714403988888000000,1714404048894000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1714403988888000000,1714404048894000000,0
FilePageCacheLockFree.totalPagesWritten,1714403988888000000,1714404048894000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1714403988888000000,1714404048894000000,15823133
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1714403988888000000,1714404048894000000,255877120
FilePageCacheLockFree.totalBytesWritten,1714403988888000000,1714404048894000000,0
FilePageCache.capacityInBytes,1714403988888000000,1714404048894000000,503316478
FilePageCacheLockFree.totalNativeBytesReclaimed,1714403988888000000,1714404048894000000,0
FilePageCacheLockFree.totalBytesRequested,1714403988888000000,1714404048894000000,0
MappedFileStorage.totalPagesMapped,1714403988888000000,1714404048894000000,14
FileChannelInterruptsRetryer.totalRetriedAttempts,1714403988888000000,1714404048894000000,0
DirectByteBufferAllocator.reclaimed,1714403988888000000,1714404048894000000,3
FilePageCache.totalPageDisposalsUs,1714403988888000000,1714404048894000000,1203
FilePageCacheLockFree.totalPagesReclaimed,1714403988888000000,1714404048894000000,0
FilePageCacheLockFree.totalPagesRequested,1714403988888000000,1714404048894000000,0
MappedFileStorage.totalBytesMapped,1714403988888000000,1714404048894000000,194248704
MappedFileStorage.storages,1714403988888000000,1714404048894000000,13
FilePageCache.totalPageLoadsUs,1714403988888000000,1714404048894000000,475290
FilePageCacheLockFree.totalPagesAllocated,1714403988888000000,1714404048894000000,0
FilePageCache.maxRegisteredFiles,1714403988888000000,1714404048894000000,457
FilePageCacheLockFree.totalPagesHandedOver,1714403988888000000,1714404048894000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1714403988888000000,1714404048894000000,9488
StreamlinedBlobStorage.recordsRelocated,1714403988888000000,1714404048894000000,0
DirectByteBufferAllocator.hits,1714403988888000000,1714404048894000000,3
FilePageCache.maxCacheSizeInBytes,1714403988888000000,1714404048894000000,255877120
FilePageCache.pageLoads,1714403988888000000,1714404048894000000,250
StorageLockContext.competingThreads.max,1714403988888000000,1714404048894000000,0
StreamlinedBlobStorage.recordsDeleted,1714403988888000000,1714404048894000000,243
DirectByteBufferAllocator.misses,1714403988888000000,1714404048894000000,247
FilePageCacheLockFree.totalPagesRequestsMs,1714403988888000000,1714404048894000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1714403988888000000,1714404048894000000,0
FilePageCache.pageFastCacheHits,1714403988888000000,1714404048894000000,22120
FilePageCacheLockFree.heapBytesInUse,1714403988888000000,1714404048894000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1714403988888000000,1714404048894000000,0
DirectByteBufferAllocator.disposed,1714403988888000000,1714404048894000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1714403988888000000,1714404048894000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1714403988888000000,1714404048894000000,0
FilePageCacheLockFree.totalPagesReadMs,1714403988888000000,1714404048894000000,0
StorageLockContext.competingThreads.90P,1714403988888000000,1714404048894000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1714403988888000000,1714404048894000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1714403988888000000,1714404048894000000,0
FilePageCacheLockFree.totalBytesRead,1714403988888000000,1714404048894000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1714403988888000000,1714404048894000000,0
VFS.fileChildByName,1714403988888000000,1714404048894000000,86760
FileNameCache.queries,1714403988888000000,1714404048894000000,12824512
VFS.fileByIdCache.misses,1714403988888000000,1714404048894000000,34492
VFS.invertedFileNameIndex.requests,1714403988888000000,1714404048894000000,3
VFS.fileByIdCache.hits,1714403988888000000,1714404048894000000,4
FileNameCache.totalMisses,1714403988888000000,1714404048894000000,955520
Indexes.allKeys.lookupDuration90PMs,1714403988888000000,1714404048894000000,1.0
IndexesFlusher.totalFlushes,1714403988888000000,1714404048894000000,58
Indexes.allKeys.lookupDurationMaxMs,1714403988888000000,1714404048894000000,1.0
Indexes.entries.lookups,1714403988888000000,1714404048894000000,1745.0
IndexesFlusher.totalFlushesRetried,1714403988888000000,1714404048894000000,0
IndexesFlusher.totalFlushingTimeUs,1714403988888000000,1714404048894000000,46899
Indexes.entries.lookupDuration90PMs,1714403988888000000,1714404048894000000,0.0
Indexes.stubs.lookups,1714403988888000000,1714404048894000000,10094.0
Indexes.entries.lookupDurationMaxMs,1714403988888000000,1714404048894000000,29.0
IndexesFlusher.totalContentionQuotaSpent,1714403988888000000,1714404048894000000,0
Indexes.allKeys.lookupDurationAvgMs,1714403988888000000,1714404048894000000,0.4444444444444444
Indexes.entries.lookupDurationAvgMs,1714403988888000000,1714404048894000000,0.1667621776504298
Indexes.allKeys.lookups,1714403988888000000,1714404048894000000,9.0
Indexes.stubs.lookupDuration90PMs,1714403988888000000,1714404048894000000,0.0
Indexes.stubs.lookupDurationMaxMs,1714403988888000000,1714404048894000000,22.0
Indexes.stubs.lookupDurationAvgMs,1714403988888000000,1714404048894000000,0.09946502872993858
AWTEventQueue.dispatchTime90PNs,1714403988888000000,1714404048894000000,1097727
FlushQueue.queueSizeAvg,1714403988888000000,1714404048894000000,17.0826838772528
NonBlockingReadAction.finalizedExecutionsCount,1714403988888000000,1714404048894000000,601
WriteAction.executionsCount,1714403988888000000,1714404048894000000,41
NonBlockingReadAction.finalizedExecutionTimeUs,1714403988888000000,1714404048894000000,11285858
AWTEventQueue.eventsDispatched,1714403988888000000,1714404048894000000,8847
FlushQueue.queueSize90P,1714403988888000000,1714404048894000000,55
AWTEventQueue.dispatchTimeMaxNs,1714403988888000000,1714404048894000000,465567743
NonBlockingReadAction.failedExecutionsCount,1714403988888000000,1714404048894000000,5
AWTEventQueue.dispatchTimeAvgNs,1714403988888000000,1714404048894000000,1292441.527297389
FlushQueue.executionTimeMaxNs,1714403988888000000,1714404048894000000,461373439
FlushQueue.executionTime90PNs,1714403988888000000,1714404048894000000,238591
FlushQueue.tasksExecuted,1714403988888000000,1714404048894000000,8212
NonBlockingReadAction.failedExecutionTimeUs,1714403988888000000,1714404048894000000,1706046
FlushQueue.waitingTimeMaxNs,1714403988888000000,1714404048894000000,754974719
AWTEventQueue.dispatchTimeTotalNS,1714403988888000000,1714404048894000000,11436688144
FlushQueue.waitingTimeAvgNs,1714403988888000000,1714404048894000000,4.121837722868972E7
ReadAction.executionsCount,1714403988888000000,1714404048894000000,466171
FlushQueue.waitingTime90PNs,1714403988888000000,1714404048894000000,146800639
FlushQueue.executionTimeAvgNs,1714403988888000000,1714404048894000000,595629.976254262
FlushQueue.queueSizeMax,1714403988888000000,1714404048894000000,230
jps.library.entities.serializer.save.entities.ms,1714403988888000000,1714404048894000000,0
workspaceModel.moduleBridge.update.option.ms,1714403988888000000,1714404048894000000,0
jps.project.serializers.load.ms,1714403988888000000,1714404048894000000,162
workspaceModel.do.save.caches.ms,1714403988888000000,1714404048894000000,184
workspaceModel.global.apply.state.to.project.ms,1714403988888000000,1714404048894000000,22
workspaceModel.mutableEntityStorage.put.entity.ms,1714403988888000000,1714404048894000000,25
jps.global.get.library.ms,1714403988888000000,1714404048894000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1714403988888000000,1714404048894000000,4
jps.app.storage.content.reader.load.component.ms,1714403988888000000,1714404048894000000,2
