# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.invertedFileNameIndex.requests,1714403832343000000,1714403892367000000,3
VFS.fileChildByName,1714403832343000000,1714403892367000000,96360
FileNameCache.totalMisses,1714403832343000000,1714403892367000000,0
VFS.fileByIdCache.hits,1714403832343000000,1714403892367000000,2
VFS.fileByIdCache.misses,1714403832343000000,1714403892367000000,54479
FileNameCache.queries,1714403832343000000,1714403892367000000,0
cacheStateStorage.set.duration,1714403832343000000,1714403892367000000,18
cacheStateStorage.get.counter,1714403832343000000,1714403892367000000,58
cacheStateStorage.set.counter,1714403832343000000,1714403892367000000,4
cacheStateStorage.get.duration,1714403832343000000,1714403892367000000,537
workspaceModel.to.snapshot.ms,1714403832343000000,1714403892367000000,4
workspaceModel.entityStorageSnapshotImpl.instances.count,1714403832343000000,1714403892367000000,31
workspaceModel.updates.precise.ms,1714403832343000000,1714403892367000000,13
workspaceModel.cachedValueWithParameters.total.get.ms,1714403832343000000,1714403892367000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1714403832343000000,1714403892367000000,110
workspaceModel.cachedValueWithParameters.from.cache.ms,1714403832343000000,1714403892367000000,0
workspaceModel.collect.changes.ms,1714403832343000000,1714403892367000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1714403832343000000,1714403892367000000,2132
workspaceModel.workspaceFileIndexData.instances.count,1714403832343000000,1714403892367000000,1
workspaceModel.cachedValue.clear.ms,1714403832343000000,1714403892367000000,0
workspaceModel.initializing.ms,1714403832343000000,1714403892367000000,29
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1714403832343000000,1714403892367000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1714403832343000000,1714403892367000000,0
workspaceModel.pre.handlers.ms,1714403832343000000,1714403892367000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1714403832343000000,1714403892367000000,122
workspaceModel.cachedValue.calculated.ms,1714403832343000000,1714403892367000000,17
workspaceModel.check.recursive.update.ms,1714403832343000000,1714403892367000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1714403832343000000,1714403892367000000,0
workspaceModel.cachedValue.total.get.ms,1714403832343000000,1714403892367000000,20
workspaceModel.replace.project.model.ms,1714403832343000000,1714403892367000000,5
workspaceModel.updates.ms,1714403832343000000,1714403892367000000,85
workspaceModel.init.bridges.ms,1714403832343000000,1714403892367000000,29
workspaceModel.cachedValue.from.cache.ms,1714403832343000000,1714403892367000000,3
workspaceModel.loading.total.ms,1714403832343000000,1714403892367000000,348
workspaceModel.cachedValueWithParameters.clear.ms,1714403832343000000,1714403892367000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1714403832343000000,1714403892367000000,2
workspaceModel.full.replace.project.model.ms,1714403832343000000,1714403892367000000,4
workspaceModel.workspaceFileIndexData.getPackageName.ms,1714403832343000000,1714403892367000000,21
workspaceModel.workspaceFileIndexData.markDirty.ms,1714403832343000000,1714403892367000000,0
workspaceModel.workspaceFileIndexData.init.ms,1714403832343000000,1714403892367000000,65
workspaceModel.update.unloaded.entities.ms,1714403832343000000,1714403892367000000,0
workspaceModel.loading.from.cache.ms,1714403832343000000,1714403892367000000,335
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1714403832343000000,1714403892367000000,0
workspaceModel.updates.count,1714403832343000000,1714403892367000000,9
JVM.GC.collections,1714403832343000000,1714403892367000000,27
JVM.totalDirectByteBuffersBytes,1714403832343000000,1714403892367000000,262968155
JVM.GC.collectionTimesMs,1714403832343000000,1714403892367000000,332
JVM.maxThreadCount,1714403832343000000,1714403892367000000,228
JVM.usedNativeBytes,1714403832343000000,1714403892367000000,543530880
JVM.usedHeapBytes,1714403832343000000,1714403892367000000,830472192
JVM.totalBytesAllocated,1714403832343000000,1714403892367000000,4641577056
JVM.newThreadsCount,1714403832343000000,1714403892367000000,264
JVM.threadCount,1714403832343000000,1714403892367000000,204
JVM.totalCpuTimeMs,1714403832343000000,1714403892367000000,115490
JVM.maxHeapBytes,1714403832343000000,1714403892367000000,2147483648
OS.loadAverage,1714403832343000000,1714403892367000000,1.8193359375
writeAction.max.wait.ms,1714403832343000000,1714403892367000000,50
parser.JSON.size.bytes,1714403832343000000,1714403892367000000,0
parser.JSON.time.ns,1714403832343000000,1714403892367000000,309322
lexer.JAVA.time.ns,1714403832343000000,1714403892367000000,6692830
writeAction.count,1714403832343000000,1714403892367000000,40
