# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
lexer.JAVA.time.ns,1714401970446000000,1714402001475000000,4256558
lexer.XML.time.ns,1714401970446000000,1714402001475000000,1008393
lexer.XML.size.bytes,1714401970446000000,1714402001475000000,1037
writeAction.count,1714401970446000000,1714402001475000000,29
parser.XML.time.ns,1714401970446000000,1714402001475000000,7769701
writeAction.median.wait.ms,1714401970446000000,1714402001475000000,0
parser.JAVA.time.ns,1714401970446000000,1714402001475000000,39927614
lexer.JAVA.size.bytes,1714401970446000000,1714402001475000000,66448
parser.XML.size.bytes,1714401970446000000,1714402001475000000,1037
writeAction.wait.ms,1714401970446000000,1714402001475000000,238
lexer.TOML.time.ns,1714401970446000000,1714402001475000000,771385
parser.JAVA.size.bytes,1714401970446000000,1714402001475000000,66448
parser.TOML.time.ns,1714401970446000000,1714402001475000000,60893117
lexer.TOML.size.bytes,1714401970446000000,1714402001475000000,1696
writeAction.max.wait.ms,1714401970446000000,1714402001475000000,175
parser.TOML.size.bytes,1714401970446000000,1714402001475000000,1696
cacheStateStorage.get.counter,1714401970446000000,1714402001475000000,72
cacheStateStorage.set.counter,1714401970446000000,1714402001475000000,4
cacheStateStorage.get.duration,1714401970446000000,1714402001475000000,673
cacheStateStorage.set.duration,1714401970446000000,1714402001475000000,13
FilePageCacheLockFree.housekeeperTurnsSkipped,1714401970446000000,1714402001475000000,0
FilePageCacheLockFree.nativeBytesInUse,1714401970446000000,1714402001475000000,0
FilePageCacheLockFree.totalBytesRequested,1714401970446000000,1714402001475000000,0
FilePageCacheLockFree.totalBytesRead,1714401970446000000,1714402001475000000,0
FilePageCache.pageFastCacheHits,1714401970446000000,1714402001475000000,11857
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1714401970446000000,1714402001475000000,47202304
FilePageCacheLockFree.housekeeperTurnsDone,1714401970446000000,1714402001475000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1714401970446000000,1714402001475000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1714401970446000000,1714402001475000000,0
FilePageCache.disposedBuffers,1714401970446000000,1714402001475000000,241
FilePageCacheLockFree.totalHeapBytesReclaimed,1714401970446000000,1714402001475000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1714401970446000000,1714402001475000000,0
DirectByteBufferAllocator.disposed,1714401970446000000,1714402001475000000,196
FilePageCacheLockFree.totalPagesWriteMs,1714401970446000000,1714402001475000000,0
FilePageCacheLockFree.totalPagesHandedOver,1714401970446000000,1714402001475000000,0
DirectByteBufferAllocator.reclaimed,1714401970446000000,1714402001475000000,45
FilePageCacheLockFree.totalPageAllocationsWaited,1714401970446000000,1714402001475000000,0
StorageLockContext.competingThreads.max,1714401970446000000,1714402001475000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1714401970446000000,1714402001475000000,8378
MappedFileStorage.totalPagesMapped,1714401970446000000,1714402001475000000,0
FilePageCache.uncachedFileAccess,1714401970446000000,1714402001475000000,114
FilePageCache.pageLoads,1714401970446000000,1714402001475000000,246
FilePageCache.pageHits,1714401970446000000,1714402001475000000,2
StorageLockContext.competingThreads.90P,1714401970446000000,1714402001475000000,0
FilePageCacheLockFree.totalBytesWritten,1714401970446000000,1714402001475000000,0
DirectByteBufferAllocator.misses,1714401970446000000,1714402001475000000,243
FilePageCache.maxRegisteredFiles,1714401970446000000,1714402001475000000,465
FilePageCacheLockFree.totalPagesRequested,1714401970446000000,1714402001475000000,0
MappedFileStorage.storages,1714401970446000000,1714402001475000000,0
FilePageCacheLockFree.totalPagesAllocated,1714401970446000000,1714402001475000000,0
MappedFileStorage.totalBytesMapped,1714401970446000000,1714402001475000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1714401970446000000,1714402001475000000,41959424
