# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeAvgNs,1714402205287000000,1714402265294000000,1378124.6157366214
FlushQueue.tasksExecuted,1714402205287000000,1714402265294000000,4913
ReadAction.executionsCount,1714402205287000000,1714402265294000000,440013
AWTEventQueue.dispatchTime90PNs,1714402205287000000,1714402265294000000,933887
NonBlockingReadAction.failedExecutionTimeUs,1714402205287000000,1714402265294000000,1498829
NonBlockingReadAction.finalizedExecutionsCount,1714402205287000000,1714402265294000000,883
FlushQueue.queueSize90P,1714402205287000000,1714402265294000000,51
FlushQueue.waitingTimeMaxNs,1714402205287000000,1714402265294000000,1044381695
AWTEventQueue.eventsDispatched,1714402205287000000,1714402265294000000,7867
FlushQueue.queueSizeAvg,1714402205287000000,1714402265294000000,14.471605943415428
NonBlockingReadAction.failedExecutionsCount,1714402205287000000,1714402265294000000,10
AWTEventQueue.dispatchTimeMaxNs,1714402205287000000,1714402265294000000,503316479
FlushQueue.queueSizeMax,1714402205287000000,1714402265294000000,188
FlushQueue.executionTimeAvgNs,1714402205287000000,1714402265294000000,1045753.164665174
FlushQueue.executionTime90PNs,1714402205287000000,1714402265294000000,403455
AWTEventQueue.dispatchTimeTotalNS,1714402205287000000,1714402265294000000,10842862666
NonBlockingReadAction.finalizedExecutionTimeUs,1714402205287000000,1714402265294000000,4569045
FlushQueue.waitingTime90PNs,1714402205287000000,1714402265294000000,143654911
FlushQueue.waitingTimeAvgNs,1714402205287000000,1714402265294000000,5.1792981563606754E7
WriteAction.executionsCount,1714402205287000000,1714402265294000000,34
FlushQueue.executionTimeMaxNs,1714402205287000000,1714402265294000000,503316479
FilePageCache.maxRegisteredFiles,1714402205287000000,1714402265294000000,457
DirectByteBufferAllocator.misses,1714402205287000000,1714402265294000000,250
FilePageCache.pageHits,1714402205287000000,1714402265294000000,13
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1714402205287000000,1714402265294000000,0
FilePageCacheLockFree.totalPagesWritten,1714402205287000000,1714402265294000000,0
FilePageCacheLockFree.totalBytesWritten,1714402205287000000,1714402265294000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1714402205287000000,1714402265294000000,0
FilePageCacheLockFree.totalPagesHandedOver,1714402205287000000,1714402265294000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1714402205287000000,1714402265294000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1714402205287000000,1714402265294000000,0
StreamlinedBlobStorage.recordsRelocated,1714402205287000000,1714402265294000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1714402205287000000,1714402265294000000,0
FilePageCacheLockFree.heapBytesInUse,1714402205287000000,1714402265294000000,0
FilePageCache.totalPageDisposalsUs,1714402205287000000,1714402265294000000,1597
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1714402205287000000,1714402265294000000,2885479
FilePageCache.disposedBuffers,1714402205287000000,1714402265294000000,3
FilePageCacheLockFree.housekeeperTimeSpentMs,1714402205287000000,1714402265294000000,0
FilePageCache.maxCacheSizeInBytes,1714402205287000000,1714402265294000000,259022848
FilePageCacheLockFree.nativeBytesInUse,1714402205287000000,1714402265294000000,0
StreamlinedBlobStorage.recordsDeleted,1714402205287000000,1714402265294000000,243
FilePageCacheLockFree.totalHeapBytesAllocated,1714402205287000000,1714402265294000000,0
FilePageCacheLockFree.totalBytesRead,1714402205287000000,1714402265294000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1714402205287000000,1714402265294000000,0
